Company,Contact,Phone,Email,Address,City,State,Zip,Terms,Tax Exempt,Notes
Rocky Mountain Freight Lines,Dale Hutchins,303-555-0142,dispatch@rmfreight.com,4820 Brighton Blvd,Denver,CO,80216,Net 30,no,Fleet of 40 ISX15 trucks; PM contracts
Summit Diesel Repair,Marcus Lowe,720-555-0188,service@summitdieselco.com,12 Industrial Way,Aurora,CO,80011,Net 30,no,Independent repair shop; frequent injector + turbo orders
High Plains Trucking,Sheila Vargas,970-555-0119,accounts@highplainstk.com,901 County Rd 14,Greeley,CO,80631,Net 60,no,Long-haul fleet; DD15 + MX13
Front Range Diesel Performance,Tyler Boone,303-555-0167,tyler@frdperformance.com,558 S Santa Fe Dr,Denver,CO,80223,COD,no,Performance shop; cash on pickup
Bighorn Logistics,Karen Ostrander,307-555-0133,karen@bighornlog.com,2200 Coffeen Ave,Sheridan,WY,82801,Net 30,no,Regional carrier; CAT C15 fleet
City of Loveland Public Works,Fleet Desk,970-555-0150,fleet@lovelandgov.org,200 N Wilson Ave,Loveland,CO,80537,Net 30,yes,Municipal — tax exempt; PO number required on every order
Mesa Verde Hauling,Ray Conley,970-555-0102,rayconley@gmail.com,14 Mesa Top Rd,Cortez,CO,81321,COD,no,Owner-operator; single ISX15
Continental Reman & Supply,Purchasing Dept,800-555-0177,buy@continentalreman.com,3400 Reman Pkwy,Pueblo,CO,81001,Net 30,yes,Reseller — resale certificate on file
Bender Bros Excavating,Joel Bender,719-555-0190,joel@benderbros.com,77 Quarry Rd,Colorado Springs,CO,80905,Net 30,no,Off-road equipment; C15 + 3406E
Prairie Star Dairy Transport,Anita Reyes,308-555-0124,anita@prairiestardairy.com,5 Dairy Ln,Sidney,NE,69162,Net 60,no,Refrigerated fleet
Wasatch Heavy Truck,Parts Counter,801-555-0145,parts@wasatchheavy.com,1290 S 500 W,Salt Lake City,UT,84101,Net 30,no,Dealer account; buys cores back
Lone Pine Logging,Gus Halvorsen,406-555-0111,gus@lonepinelog.com,9 Timber Rd,Kalispell,MT,59901,COD,no,Seasonal; CAT engines
Cornerstone Concrete,Dispatch,303-555-0159,dispatch@cornerstonecrete.com,600 Cemex Way,Brighton,CO,80601,Net 30,no,Mixer fleet; PACCAR MX
Red Desert Oilfield Services,Brandi Sloan,307-555-0166,bsloan@reddesertos.com,41 Rig Rd,Rock Springs,WY,82901,Net 30,no,Oilfield; severe-duty ISX
Valley Co-op Ag,Parts Counter,970-555-0108,parts@valleycoopag.com,320 Main St,Sterling,CO,80751,Net 30,yes,Ag co-op; tax exempt
Trans-Am Owner Operators LLC,Mike Petrowski,312-555-0172,mike.p@transamoo.com,18 Truckers Plaza,Limon,CO,80828,COD,no,Small owner-operator group
Sangre de Cristo Tours,Fleet Manager,719-555-0181,fleet@sdctours.com,2 Depot St,Alamosa,CO,81101,Net 30,no,Motorcoach fleet; DD15
Apex Auto & Truck Salvage,Donna Frye,303-555-0193,donna@apexsalvage.com,88 Salvage Row,Commerce City,CO,80022,Net 30,yes,Salvage and resale — tax exempt
